iter	Passed	Remaining
710	1266	514
711	1268	512
712	1269	510
713	1270	508
714	1271	506
715	1272	504
716	1274	502
717	1275	500
718	1276	499
719	1278	497
720	1279	495
721	1280	493
722	1281	491
723	1282	489
724	1283	487
725	1285	485
726	1286	483
727	1287	481
728	1288	479
729	1290	477
730	1292	475
731	1293	473
732	1295	471
733	1296	469
734	1298	468
735	1299	466
736	1300	464
737	1301	462
738	1303	460
739	1304	458
740	1306	456
741	1307	454
742	1309	452
743	1310	450
744	1311	448
745	1313	447
746	1314	445
747	1315	443
748	1316	441
749	1318	439
750	1319	437
751	1321	435
752	1322	433
753	1323	431
754	1325	430
755	1326	428
756	1327	426
757	1328	424
758	1330	422
759	1331	420
760	1332	418
761	1333	416
762	1334	414
763	1336	412
764	1338	411
765	1339	409
766	1340	407
767	1341	405
768	1342	403
769	1343	401
770	1345	399
771	1346	397
772	1347	395
773	1348	393
774	1350	391
775	1351	390
776	1353	388
777	1354	386
778	1355	384
779	1356	382
780	1358	380
781	1359	378
782	1360	377
783	1361	375
784	1362	373
785	1363	371
786	1366	369
787	1367	367
788	1368	366
789	1369	364
790	1371	362
791	1372	360
792	1373	358
793	1374	356
794	1375	354
795	1376	352
796	1378	351
797	1379	349
798	1381	347
799	1383	345
800	1384	343
801	1385	342
802	1387	340
803	1388	338
804	1390	336
805	1391	335
806	1393	333
807	1394	331
808	1396	329
809	1397	327
810	1399	326
811	1400	324
812	1401	322
813	1402	320
814	1404	318
815	1405	316
816	1406	315
817	1407	313
818	1408	311
819	1410	309
820	1412	307
821	1413	306
822	1414	304
823	1415	302
824	1416	300
825	1418	298
826	1419	296
827	1420	295
828	1421	293
829	1422	291
830	1424	289
831	1426	287
832	1427	286
833	1428	284
834	1430	282
835	1431	280
836	1432	279
837	1434	277
838	1435	275
839	1436	273
840	1437	271
841	1438	269
842	1439	268
843	1442	266
844	1443	264
845	1444	262
846	1445	261
847	1446	259
848	1448	257
849	1449	255
850	1450	253
851	1451	252
852	1452	250
853	1453	248
854	1455	246
855	1457	245
856	1458	243
857	1459	241
858	1460	239
859	1462	238
860	1463	236
861	1464	234
862	1465	232
863	1466	230
864	1468	229
865	1469	227
866	1471	225
867	1473	224
868	1474	222
869	1475	220
870	1477	218
871	1478	216
872	1479	215
873	1480	213
874	1481	211
875	1482	209
876	1484	208
877	1485	206
878	1487	204
879	1489	203
880	1490	201
881	1491	199
882	1493	197
883	1495	196
884	1496	194
885	1497	192
886	1498	190
887	1499	189
888	1501	187
889	1503	185
890	1504	184
891	1505	182
892	1507	180
893	1508	178
894	1509	177
895	1510	175
896	1511	173
897	1512	171
898	1514	170
899	1515	168
900	1517	166
901	1518	165
902	1519	163
903	1521	161
904	1522	159
905	1523	158
906	1525	156
907	1526	154
908	1527	152
909	1528	151
910	1529	149
911	1531	147
912	1533	146
913	1534	144
914	1535	142
915	1536	140
916	1537	139
917	1539	137
918	1540	135
919	1541	134
920	1542	132
921	1543	130
922	1544	128
923	1546	127
924	1547	125
925	1549	123
926	1550	122
927	1552	120
928	1553	118
929	1555	117
930	1556	115
931	1558	113
932	1559	112
933	1561	110
934	1562	108
935	1564	106
936	1565	105
937	1566	103
938	1567	101
939	1568	100
940	1570	98
941	1571	96
942	1572	95
943	1574	93
944	1576	91
945	1577	90
946	1579	88
947	1580	86
948	1582	85
949	1583	83
950	1584	81
951	1585	79
952	1587	78
953	1588	76
954	1590	74
955	1591	73
956	1593	71
957	1594	69
958	1595	68
959	1596	66
960	1598	64
961	1599	63
962	1600	61
963	1601	59
964	1602	58
965	1604	56
966	1605	54
967	1607	53
968	1608	51
969	1609	49
970	1610	48
971	1611	46
972	1613	44
973	1614	43
974	1615	41
975	1616	39
976	1617	38
977	1620	36
978	1621	34
979	1622	33
980	1623	31
981	1625	29
982	1626	28
983	1627	26
984	1628	24
985	1629	23
986	1631	21
987	1632	19
988	1633	18
989	1635	16
990	1636	14
991	1638	13
992	1639	11
993	1640	9
994	1641	8
995	1642	6
996	1644	4
997	1645	3
998	1646	1
999	1647	0
